,backtest,baseline
sharpe_ratio,2.0,0.46
maximum_drawdown_percentage,-13.33,-36.16
total_trades,229.37,1.0
percentage_of_gain_trades,61.92,17.14
percentage_of_loss_trades,38.08,82.86
avg_gain_per_trade,1736.75,-1299.11
avg_loss_per_trade,-879.24,24611.37
avg_gain_percentage,23.24,-2.13
avg_loss_percentage,-10.95,46.57
payoff,877.61,23312.26
profit_factor,3.23,1299.11
recuperation_factor,14912.53,817.82
better_months,0.61,0.39
median_annual_profit_percentage,30.56,8.73
mean_annual_profit_percentage,29.42,8.62
max_annual_profit_percentage,45.08,27.76
min_annual_profit_percentage,15.07,-11.43
std_annual_profit_percentage,7.09,8.79
